TEFF   5500.  GRAVITY 1.00000 LTE 
TITLE  [ 0.0] VTURB=0  L/H=1.25 NOVER NEW ODF                                   
FLUX   71    41.40        7.241364E+15   5.3266E-52   5.3267E-52   0.99998
FLUX   72    42.20        7.104087E+15   4.0546E-51   4.0546E-51   0.99998
FLUX   73    43.00        6.971919E+15   2.8561E-50   2.8561E-50   0.99998
FLUX   74    44.10        6.798016E+15   3.7148E-49   3.7149E-49   0.99998
FLUX   75    45.10        6.647284E+15   3.4203E-48   3.4203E-48   0.99998
FLUX   76    46.00        6.517228E+15   2.3172E-47   2.3172E-47   0.99998
FLUX   77    47.00        6.378564E+15   1.7777E-46   1.7778E-46   0.99998
FLUX   78    48.00        6.245677E+15   1.2490E-45   1.2490E-45   0.99998
FLUX   79    49.00        6.118214E+15   8.0879E-45   8.0881E-45   0.99998
FLUX   80    50.00        5.995850E+15   4.8440E-44   4.8440E-44   0.99998
FLUX   81    50.60        5.924753E+15   1.8352E-43   2.0763E-43   0.88386
FLUX   82    51.20        5.855322E+15   5.6417E-43   5.6984E-43   0.99006
FLUX   83    52.00        5.765240E+15   2.0918E-42   2.1087E-42   0.99195
FLUX   84    53.00        5.656462E+15   1.0217E-41   1.0217E-41   0.99998
FLUX   85    54.00        5.551713E+15   4.6350E-41   4.6590E-41   0.99485
FLUX   86    55.00        5.450773E+15   2.0073E-40   2.0073E-40   0.99998
FLUX   87    56.00        5.353437E+15   8.1917E-40   8.1918E-40   0.99998
FLUX   88    57.00        5.259517E+15   3.1755E-39   3.1756E-39   0.99998
FLUX   89    58.00        5.168836E+15   1.1608E-38   1.1729E-38   0.98969
FLUX   90    59.00        5.081229E+15   4.1340E-38   4.1351E-38   0.99972
FLUX   91    60.00        4.996542E+15   1.3948E-37   1.3953E-37   0.99963
FLUX   92    61.00        4.914631E+15   4.5160E-37   4.5161E-37   0.99998
FLUX   93    62.00        4.835363E+15   1.4048E-36   1.4049E-36   0.99991
FLUX   94    63.00        4.758611E+15   4.2085E-36   4.2088E-36   0.99993
FLUX   95    64.00        4.684258E+15   1.2170E-35   1.2171E-35   0.99997
FLUX   96    65.00        4.612192E+15   3.4011E-35   3.4012E-35   0.99997
FLUX   97    65.80        4.556117E+15   7.5581E-35   7.5586E-35   0.99993
FLUX   98    66.50        4.508158E+15   1.4942E-34   1.4953E-34   0.99929
FLUX   99    67.50        4.441370E+15   3.8598E-34   3.8616E-34   0.99954
