7.10E+01	4.14E+01	7.24E+15	1.58E-74	1.58E-74	0.99998
7.20E+01	4.22E+01	7.10E+15	3.10E-73	3.10E-73	0.99998
7.30E+01	4.30E+01	6.97E+15	5.43E-72	5.43E-72	0.99998
7.40E+01	4.41E+01	6.80E+15	2.34E-70	2.34E-70	0.99998
7.50E+01	4.51E+01	6.65E+15	6.07E-69	6.07E-69	0.99998
7.60E+01	4.60E+01	6.52E+15	1.01E-67	1.01E-67	0.99998
7.70E+01	4.70E+01	6.38E+15	2.00E-66	2.00E-66	0.99998
7.80E+01	4.80E+01	6.25E+15	3.51E-65	3.51E-65	0.99998
7.90E+01	4.90E+01	6.12E+15	5.47E-64	5.47E-64	0.99998
8.00E+01	5.00E+01	6.00E+15	7.60E-63	7.60E-63	0.99998
8.10E+01	5.06E+01	5.92E+15	4.73E-62	5.32E-62	0.88934
8.20E+01	5.12E+01	5.86E+15	2.33E-61	2.35E-61	0.99167
8.30E+01	5.20E+01	5.77E+15	1.61E-60	1.62E-60	0.99298
8.40E+01	5.30E+01	5.66E+15	1.66E-59	1.66E-59	0.99998
8.50E+01	5.40E+01	5.55E+15	1.54E-58	1.55E-58	0.99551
8.60E+01	5.50E+01	5.45E+15	1.34E-57	1.34E-57	0.99998
8.70E+01	5.60E+01	5.35E+15	1.07E-56	1.07E-56	0.99998
8.80E+01	5.70E+01	5.26E+15	7.88E-56	7.88E-56	0.99998
8.90E+01	5.80E+01	5.17E+15	5.37E-55	5.43E-55	0.99034
9.00E+01	5.90E+01	5.08E+15	3.49E-54	3.49E-54	0.99986
9.10E+01	6.00E+01	5.00E+15	2.11E-53	2.11E-53	0.9999
9.20E+01	6.10E+01	4.91E+15	1.20E-52	1.20E-52	0.99998
9.30E+01	6.20E+01	4.84E+15	6.43E-52	6.43E-52	0.99992
9.40E+01	6.30E+01	4.76E+15	3.26E-51	3.26E-51	0.99993
9.50E+01	6.40E+01	4.68E+15	1.57E-50	1.57E-50	0.99998
9.60E+01	6.50E+01	4.61E+15	7.21E-50	7.21E-50	0.99998
9.70E+01	6.58E+01	4.56E+15	2.35E-49	2.35E-49	0.99998
9.80E+01	6.65E+01	4.51E+15	6.47E-49	6.47E-49	0.9996
9.90E+01	6.75E+01	4.44E+15	2.64E-48	2.65E-48	0.99971
1.00E+02	6.85E+01	4.38E+15	1.04E-47	1.04E-47	0.99998
1.01E+02	6.95E+01	4.31E+15	3.89E-47	3.89E-47	0.99998
1.02E+02	7.05E+01	4.25E+15	1.41E-46	1.41E-46	0.99868
1.03E+02	7.16E+01	4.19E+15	5.54E-46	5.54E-46	0.99998
1.04E+02	7.26E+01	4.13E+15	1.86E-45	1.86E-45	0.99998
1.05E+02	7.35E+01	4.08E+15	5.36E-45	5.36E-45	0.99993
1.06E+02	7.45E+01	4.02E+15	1.68E-44	1.68E-44	0.99984
1.07E+02	7.55E+01	3.97E+15	5.13E-44	5.13E-44	0.99973
1.08E+02	7.65E+01	3.92E+15	1.52E-43	1.52E-43	0.99993
1.09E+02	7.75E+01	3.87E+15	4.35E-43	4.36E-43	0.99975
1.10E+02	7.85E+01	3.82E+15	1.22E-42	1.22E-42	0.99998
1.11E+02	7.95E+01	3.77E+15	3.30E-42	3.31E-42	0.99809
1.12E+02	8.05E+01	3.72E+15	8.74E-42	8.76E-42	0.99846
1.13E+02	8.15E+01	3.68E+15	2.26E-41	2.26E-41	0.99987
1.14E+02	8.25E+01	3.63E+15	5.71E-41	5.71E-41	0.99997
1.15E+02	8.35E+01	3.59E+15	1.41E-40	1.41E-40	0.99997
1.16E+02	8.45E+01	3.55E+15	3.39E-40	3.39E-40	0.99993
1.17E+02	8.55E+01	3.51E+15	8.00E-40	8.00E-40	0.99979
1.18E+02	8.65E+01	3.47E+15	1.85E-39	1.85E-39	0.9996
1.19E+02	8.75E+01	3.43E+15	4.18E-39	4.19E-39	0.99868
1.20E+02	8.85E+01	3.39E+15	9.30E-39	9.31E-39	0.99914
1.21E+02	8.95E+01	3.35E+15	2.03E-38	2.03E-38	0.99903
1.22E+02	9.05E+01	3.31E+15	4.34E-38	4.35E-38	0.99853
1.23E+02	9.15E+01	3.28E+15	1.02E-32	1.10E-31	0.09204
1.24E+02	9.25E+01	3.24E+15	4.14E-32	2.08E-31	0.19912
1.25E+02	9.35E+01	3.21E+15	6.29E-32	3.87E-31	0.16272
1.26E+02	9.45E+01	3.17E+15	1.44E-31	7.08E-31	0.20306
1.27E+02	9.55E+01	3.14E+15	2.99E-31	1.36E-30	0.21964
1.28E+02	9.65E+01	3.11E+15	5.58E-31	2.10E-30	0.26555
1.29E+02	9.75E+01	3.07E+15	6.90E-31	2.77E-30	0.24854
1.30E+02	9.85E+01	3.04E+15	1.91E-30	7.29E-30	0.26181
1.31E+02	9.95E+01	3.01E+15	3.49E-30	1.21E-29	0.28969
1.32E+02	1.01E+02	2.98E+15	5.52E-30	1.90E-29	0.29
1.33E+02	1.02E+02	2.95E+15	8.09E-30	2.48E-29	0.32595
1.34E+02	1.03E+02	2.92E+15	1.83E-29	5.81E-29	0.31494
1.35E+02	1.04E+02	2.90E+15	3.50E-29	8.87E-29	0.39472
1.36E+02	1.05E+02	2.87E+15	6.12E-29	1.55E-28	0.39518
1.37E+02	1.06E+02	2.84E+15	8.71E-29	2.57E-28	0.33893
1.38E+02	1.07E+02	2.81E+15	1.84E-28	4.17E-28	0.44113
1.39E+02	1.08E+02	2.79E+15	2.95E-28	6.69E-28	0.44085
1.40E+02	1.09E+02	2.76E+15	4.86E-28	1.07E-27	0.45626
1.41E+02	1.10E+02	2.74E+15	6.96E-28	1.68E-27	0.41468
1.42E+02	1.11E+02	2.71E+15	1.10E-27	2.62E-27	0.41928
1.43E+02	1.12E+02	2.69E+15	1.69E-27	4.04E-27	0.41799
1.44E+02	1.13E+02	2.66E+15	3.22E-27	6.15E-27	0.5233
1.45E+02	1.14E+02	2.64E+15	5.55E-27	9.23E-27	0.60148
