78	4.80E+01	6.25E+15	4.34E-05	5.99E-05	0.72503	
79	4.90E+01	6.12E+15	3.82E-05	6.35E-05	0.60134	
80	5.00E+01	6.00E+15	5.05E-05	6.73E-05	0.75108	
81	5.06E+01	5.92E+15	6.41E-05	4.13E-04	0.15501	
82	5.12E+01	5.86E+15	2.32E-04	4.22E-04	0.55075	
83	5.20E+01	5.77E+15	2.28E-04	4.29E-04	0.53042	
84	5.30E+01	5.66E+15	2.09E-04	4.38E-04	0.47604	
85	5.40E+01	5.55E+15	1.98E-04	4.47E-04	0.44278	
86	5.50E+01	5.45E+15	2.02E-04	4.57E-04	0.4417	
87	5.60E+01	5.35E+15	2.82E-04	4.66E-04	0.60409	
88	5.70E+01	5.26E+15	3.30E-04	4.76E-04	0.69356	
89	5.80E+01	5.17E+15	3.22E-04	4.86E-04	0.6628	
90	5.90E+01	5.08E+15	3.40E-04	4.95E-04	0.68685	
91	6.00E+01	5.00E+15	2.66E-04	5.05E-04	0.52641	
92	6.10E+01	4.91E+15	3.12E-04	5.15E-04	0.60626	
93	6.20E+01	4.84E+15	4.06E-04	5.25E-04	0.77447	
94	6.30E+01	4.76E+15	4.01E-04	5.35E-04	0.74955	
95	6.40E+01	4.68E+15	4.37E-04	5.45E-04	0.80241	
96	6.50E+01	4.61E+15	4.26E-04	5.55E-04	0.76812	
97	6.58E+01	4.56E+15	3.54E-04	5.63E-04	0.6276	
98	6.65E+01	4.51E+15	4.38E-04	5.71E-04	0.76827	
99	6.75E+01	4.44E+15	5.07E-04	5.81E-04	0.87326	
100	6.85E+01	4.38E+15	4.05E-04	5.91E-04	0.68531	
101	6.95E+01	4.31E+15	5.28E-04	6.02E-04	0.87749	
102	7.05E+01	4.25E+15	4.16E-04	6.12E-04	0.67931	
103	7.16E+01	4.19E+15	5.83E-04	6.23E-04	0.93521	
104	7.26E+01	4.13E+15	5.92E-04	6.34E-04	0.93462	
105	7.35E+01	4.08E+15	6.11E-04	6.43E-04	0.95044	
106	7.45E+01	4.02E+15	5.71E-04	6.54E-04	0.87361	
107	7.55E+01	3.97E+15	5.84E-04	6.64E-04	0.8798	
108	7.65E+01	3.92E+15	5.70E-04	6.75E-04	0.84492	
109	7.75E+01	3.87E+15	6.24E-04	6.85E-04	0.91047	
110	7.85E+01	3.82E+15	6.12E-04	6.95E-04	0.87998	
111	7.95E+01	3.77E+15	6.64E-04	7.05E-04	0.94167	
112	8.05E+01	3.72E+15	6.56E-04	7.15E-04	0.91653	
113	8.15E+01	3.68E+15	6.70E-04	7.25E-04	0.92281	
114	8.25E+01	3.63E+15	7.07E-04	7.35E-04	0.96142	
115	8.35E+01	3.59E+15	5.85E-04	7.45E-04	0.78513	
116	8.45E+01	3.55E+15	7.07E-04	7.55E-04	0.93678	
117	8.55E+01	3.51E+15	7.06E-04	7.65E-04	0.92321	
118	8.65E+01	3.47E+15	7.43E-04	7.74E-04	0.95938	
119	8.75E+01	3.43E+15	7.56E-04	7.84E-04	0.96468	
120	8.85E+01	3.39E+15	7.68E-04	7.93E-04	0.96872	
121	8.95E+01	3.35E+15	7.81E-04	8.02E-04	0.97263	
122	9.05E+01	3.31E+15	7.72E-04	8.12E-04	0.95146	
123	9.15E+01	3.28E+15	7.49E-04	3.57E-03	0.20955	
124	9.25E+01	3.24E+15	1.55E-03	3.57E-03	0.43394	
125	9.35E+01	3.21E+15	2.21E-03	3.56E-03	0.61994	
126	9.45E+01	3.17E+15	2.53E-03	3.55E-03	0.71418	
127	9.55E+01	3.14E+15	2.76E-03	3.54E-03	0.78024	
128	9.65E+01	3.11E+15	3.02E-03	3.53E-03	0.85581	
129	9.75E+01	3.07E+15	1.92E-03	3.52E-03	0.54577	
130	9.85E+01	3.04E+15	2.69E-03	3.51E-03	0.76515	
131	9.95E+01	3.01E+15	2.49E-03	3.50E-03	0.71207	
132	1.01E+02	2.98E+15	2.55E-03	3.49E-03	0.73143	
133	1.02E+02	2.95E+15	2.71E-03	3.48E-03	0.78015	
134	1.03E+02	2.92E+15	2.46E-03	3.46E-03	0.71124	
135	1.04E+02	2.90E+15	2.80E-03	3.45E-03	0.81151	
136	1.05E+02	2.87E+15	3.03E-03	3.44E-03	0.88017	
137	1.06E+02	2.84E+15	2.97E-03	3.42E-03	0.86764	
138	1.07E+02	2.81E+15	2.80E-03	3.41E-03	0.82091	
139	1.08E+02	2.79E+15	2.85E-03	3.40E-03	0.83871	
140	1.09E+02	2.76E+15	2.72E-03	3.38E-03	0.8039	
141	1.10E+02	2.74E+15	2.85E-03	3.37E-03	0.84723	
142	1.11E+02	2.71E+15	2.80E-03	3.35E-03	0.83446	
143	1.12E+02	2.69E+15	2.79E-03	3.34E-03	0.83579	
144	1.13E+02	2.66E+15	2.55E-03	3.32E-03	0.76596	
145	1.14E+02	2.64E+15	2.79E-03	3.31E-03	0.84446	
146	1.15E+02	2.62E+15	2.80E-03	3.29E-03	0.84912	
147	1.16E+02	2.60E+15	2.67E-03	3.28E-03	0.81487	
148	1.17E+02	2.57E+15	2.63E-03	3.26E-03	0.80615	
149	1.18E+02	2.55E+15	2.05E-03	3.25E-03	0.63125	
150	1.19E+02	2.53E+15	2.51E-03	3.23E-03	0.77592	
151	1.20E+02	2.51E+15	2.47E-03	3.21E-03	0.76963	
152	1.21E+02	2.49E+15	2.46E-03	3.20E-03	0.76846	
153	1.22E+02	2.47E+15	2.14E-03	3.18E-03	0.67345	
154	1.23E+02	2.45E+15	2.42E-03	3.17E-03	0.76356	
155	1.24E+02	2.43E+15	2.53E-03	3.15E-03	0.80298	
156	1.25E+02	2.41E+15	2.49E-03	3.13E-03	0.79518	
157	1.26E+02	2.39E+15	2.52E-03	3.12E-03	0.80838	
158	1.27E+02	2.37E+15	2.59E-03	3.10E-03	0.83649	
159	1.28E+02	2.35E+15	2.67E-03	3.08E-03	0.8663	
160	1.29E+02	2.33E+15	2.69E-03	3.07E-03	0.87627	
161	1.30E+02	2.32E+15	2.63E-03	3.05E-03	0.86418	
162	1.31E+02	2.30E+15	2.61E-03	3.03E-03	0.86137	
163	1.32E+02	2.28E+15	2.71E-03	3.02E-03	0.89734	
164	1.33E+02	2.26E+15	2.68E-03	3.00E-03	0.89239	
165	1.34E+02	2.25E+15	2.64E-03	2.98E-03	0.8856	
166	1.35E+02	2.23E+15	2.68E-03	2.97E-03	0.9022	
167	1.36E+02	2.21E+15	2.61E-03	2.95E-03	0.88665	
168	1.37E+02	2.20E+15	2.58E-03	2.93E-03	0.88051	
169	1.38E+02	2.18E+15	2.53E-03	2.92E-03	0.86947	
170	1.39E+02	2.16E+15	2.52E-03	2.90E-03	0.86905	
171	1.40E+02	2.15E+15	2.29E-03	2.88E-03	0.79635	
172	1.41E+02	2.13E+15	2.28E-03	2.87E-03	0.79428	
173	1.42E+02	2.12E+15	2.53E-03	2.85E-03	0.88685	
174	1.43E+02	2.10E+15	2.33E-03	2.83E-03	0.82269	
175	1.44E+02	2.09E+15	2.47E-03	2.82E-03	0.8776	
176	1.44E+02	2.08E+15	2.43E-03	2.80E-03	0.86738	
177	1.45E+02	2.07E+15	2.44E-03	2.80E-03	0.87318	
178	1.46E+02	2.06E+15	2.37E-03	2.78E-03	0.85165	
179	1.47E+02	2.05E+15	2.37E-03	2.77E-03	0.85826	
180	1.48E+02	2.03E+15	2.39E-03	2.75E-03	0.8692	
181	1.49E+02	2.02E+15	2.42E-03	2.73E-03	0.88625	
182	1.50E+02	2.01E+15	2.38E-03	2.72E-03	0.87642	
183	1.51E+02	1.99E+15	2.40E-03	2.70E-03	0.88676	
184	1.51E+02	1.98E+15	2.38E-03	2.69E-03	0.88568	
185	1.52E+02	1.98E+15	2.39E-03	2.68E-03	0.89101	
186	1.53E+02	1.97E+15	2.35E-03	2.67E-03	0.87873	
187	1.54E+02	1.95E+15	2.16E-03	2.65E-03	0.81314	
188	1.55E+02	1.94E+15	1.79E-03	2.64E-03	0.68023	
189	1.56E+02	1.93E+15	1.87E-03	2.62E-03	0.71183	
190	1.57E+02	1.92E+15	2.11E-03	2.61E-03	0.80789	
191	1.58E+02	1.90E+15	2.20E-03	2.59E-03	0.84831	
192	1.59E+02	1.89E+15	2.22E-03	2.58E-03	0.86063	
193	1.60E+02	1.88E+15	2.22E-03	2.56E-03	0.86759	
194	1.61E+02	1.87E+15	2.12E-03	2.54E-03	0.83382	
195	1.62E+02	1.86E+15	2.07E-03	2.53E-03	0.8187	
196	1.63E+02	1.84E+15	2.12E-03	2.51E-03	0.84507	
197	1.64E+02	1.83E+15	2.14E-03	2.50E-03	0.85617	
198	1.65E+02	1.82E+15	2.12E-03	2.48E-03	0.85193	
199	1.66E+02	1.81E+15	2.18E-03	2.47E-03	0.88274	
200	1.67E+02	1.80E+15	2.16E-03	2.45E-03	0.88094	
201	1.67E+02	1.79E+15	2.05E-03	2.44E-03	0.83703	
202	1.68E+02	1.79E+15	2.29E-03	2.44E-03	0.93833	
203	1.69E+02	1.78E+15	2.23E-03	2.42E-03	0.91794	
204	1.70E+02	1.77E+15	2.19E-03	2.41E-03	0.91061	
205	1.71E+02	1.76E+15	2.18E-03	2.40E-03	0.9117	
206	1.72E+02	1.75E+15	2.11E-03	2.38E-03	0.8877	
207	1.73E+02	1.74E+15	2.09E-03	2.37E-03	0.8826	
208	1.74E+02	1.73E+15	2.17E-03	2.35E-03	0.92014	
209	1.75E+02	1.72E+15	2.16E-03	2.34E-03	0.92315	
