89	58	5.17E+15	1.96E-05	3.22E-05	0.60982
90	59	5.08E+15	2.27E-05	3.35E-05	0.67768
91	60	5.00E+15	2.08E-05	3.49E-05	0.59464
92	61	4.91E+15	2.56E-05	3.64E-05	0.70202
93	62	4.84E+15	2.99E-05	3.81E-05	0.785
94	63	4.76E+15	3.05E-05	3.98E-05	0.76661
95	64	4.68E+15	2.97E-05	4.17E-05	0.71234
96	65	4.61E+15	2.89E-05	4.36E-05	0.66346
97	65.8	4.56E+15	2.96E-05	4.53E-05	0.65319
98	66.5	4.51E+15	3.51E-05	4.67E-05	0.75018
99	67.5	4.44E+15	3.89E-05	4.89E-05	0.79477
100	68.5	4.38E+15	3.46E-05	5.12E-05	0.6745
101	69.5	4.31E+15	4.69E-05	5.36E-05	0.87423
102	70.5	4.25E+15	4.16E-05	5.61E-05	0.74145
103	71.6	4.19E+15	5.37E-05	5.89E-05	0.9116
104	72.6	4.13E+15	5.43E-05	6.16E-05	0.88222
105	73.5	4.08E+15	5.66E-05	6.40E-05	0.88453
106	74.5	4.02E+15	5.94E-05	6.68E-05	0.88839
107	75.5	3.97E+15	6.17E-05	6.97E-05	0.8843
108	76.5	3.92E+15	6.55E-05	7.27E-05	0.90117
109	77.5	3.87E+15	7.00E-05	7.58E-05	0.92366
110	78.5	3.82E+15	7.51E-05	7.89E-05	0.95245
111	79.5	3.77E+15	7.74E-05	8.21E-05	0.94272
112	80.5	3.72E+15	7.81E-05	8.53E-05	0.91526
113	81.5	3.68E+15	8.02E-05	8.86E-05	0.90456
114	82.5	3.63E+15	8.71E-05	9.20E-05	0.94699
115	83.5	3.59E+15	7.46E-05	9.54E-05	0.78176
116	84.5	3.55E+15	8.97E-05	9.89E-05	0.90716
117	85.5	3.51E+15	9.16E-05	1.02E-04	0.89386
118	86.5	3.47E+15	9.73E-05	1.06E-04	0.91722
119	87.5	3.43E+15	1.02E-04	1.10E-04	0.92841
120	88.5	3.39E+15	1.08E-04	1.13E-04	0.94865
121	89.5	3.35E+15	1.12E-04	1.17E-04	0.95574
122	90.5	3.31E+15	1.12E-04	1.21E-04	0.92783
123	91.5	3.28E+15	1.43E-04	2.47E-03	0.05781
124	92.5	3.24E+15	6.35E-04	2.46E-03	0.25799
125	93.5	3.21E+15	1.08E-03	2.46E-03	0.43894
126	94.5	3.17E+15	1.50E-03	2.45E-03	0.60947
127	95.5	3.14E+15	1.64E-03	2.45E-03	0.66978
128	96.5	3.11E+15	1.87E-03	2.44E-03	0.76518
129	97.5	3.07E+15	6.40E-04	2.43E-03	0.26283
130	98.5	3.04E+15	1.55E-03	2.43E-03	0.63769
131	99.5	3.01E+15	1.50E-03	2.42E-03	0.61897
132	100.5	2.98E+15	1.63E-03	2.41E-03	0.67738
133	101.5	2.95E+15	1.74E-03	2.40E-03	0.72417
134	102.5	2.92E+15	1.35E-03	2.40E-03	0.56393
135	103.5	2.90E+15	1.69E-03	2.39E-03	0.70579
136	104.5	2.87E+15	2.03E-03	2.38E-03	0.85528
137	105.5	2.84E+15	1.95E-03	2.37E-03	0.82435
138	106.5	2.81E+15	1.71E-03	2.36E-03	0.72437
139	107.5	2.79E+15	1.84E-03	2.35E-03	0.78142
140	108.5	2.76E+15	1.73E-03	2.34E-03	0.7373
141	109.5	2.74E+15	1.87E-03	2.33E-03	0.80288
142	110.5	2.71E+15	1.81E-03	2.32E-03	0.78146
143	111.5	2.69E+15	1.81E-03	2.31E-03	0.78339
144	112.5	2.66E+15	1.49E-03	2.30E-03	0.64776
145	113.5	2.64E+15	1.81E-03	2.29E-03	0.79124
146	114.5	2.62E+15	1.75E-03	2.28E-03	0.76665
147	115.5	2.60E+15	1.73E-03	2.27E-03	0.76368
148	116.5	2.57E+15	1.71E-03	2.26E-03	0.75955
149	117.5	2.55E+15	1.10E-03	2.24E-03	0.49008
150	118.5	2.53E+15	1.62E-03	2.23E-03	0.72499
151	119.5	2.51E+15	1.61E-03	2.22E-03	0.72435
152	120.5	2.49E+15	1.50E-03	2.21E-03	0.67757
153	121.5	2.47E+15	1.21E-03	2.20E-03	0.54914
154	122.5	2.45E+15	1.58E-03	2.19E-03	0.72236
155	123.5	2.43E+15	1.70E-03	2.18E-03	0.78216
156	124.5	2.41E+15	1.65E-03	2.16E-03	0.76085
157	125.5	2.39E+15	1.68E-03	2.15E-03	0.77901
158	126.5	2.37E+15	1.74E-03	2.14E-03	0.81156
159	127.5	2.35E+15	1.80E-03	2.13E-03	0.84695
160	128.5	2.33E+15	1.82E-03	2.12E-03	0.85924
161	129.5	2.32E+15	1.65E-03	2.11E-03	0.78275
162	130.5	2.30E+15	1.70E-03	2.09E-03	0.81294
163	131.5	2.28E+15	1.85E-03	2.08E-03	0.88755
164	132.5	2.26E+15	1.79E-03	2.07E-03	0.86599
165	133.5	2.25E+15	1.76E-03	2.06E-03	0.85626
166	134.5	2.23E+15	1.78E-03	2.05E-03	0.87018
167	135.5	2.21E+15	1.78E-03	2.03E-03	0.8744
168	136.5	2.20E+15	1.73E-03	2.02E-03	0.85415
169	137.5	2.18E+15	1.70E-03	2.01E-03	0.84608
170	138.5	2.16E+15	1.67E-03	2.00E-03	0.83304
171	139.5	2.15E+15	1.27E-03	1.99E-03	0.63781
172	140.5	2.13E+15	1.36E-03	1.98E-03	0.68823
173	141.5	2.12E+15	1.62E-03	1.96E-03	0.82423
174	142.5	2.10E+15	1.51E-03	1.95E-03	0.77426
175	143.5	2.09E+15	1.61E-03	1.94E-03	0.83149
176	144.2	2.08E+15	1.63E-03	1.93E-03	0.84195
177	144.7	2.07E+15	1.62E-03	1.93E-03	0.84199
178	145.5	2.06E+15	1.57E-03	1.92E-03	0.81918
179	146.5	2.05E+15	1.53E-03	1.91E-03	0.80182
180	147.5	2.03E+15	1.56E-03	1.89E-03	0.82387
181	148.5	2.02E+15	1.57E-03	1.88E-03	0.83475
182	149.5	2.01E+15	1.55E-03	1.87E-03	0.8266
183	150.5	1.99E+15	1.49E-03	1.86E-03	0.8014
184	151.2	1.98E+15	1.43E-03	1.85E-03	0.77105
185	151.7	1.98E+15	1.46E-03	1.85E-03	0.79159
186	152.5	1.97E+15	1.45E-03	1.84E-03	0.78999
187	153.5	1.95E+15	1.28E-03	1.83E-03	0.70039
188	154.5	1.94E+15	1.15E-03	1.82E-03	0.63585
189	155.5	1.93E+15	1.16E-03	1.80E-03	0.64293
190	156.5	1.92E+15	1.30E-03	1.79E-03	0.72331
191	157.5	1.90E+15	1.38E-03	1.78E-03	0.77269
192	158.5	1.89E+15	1.40E-03	1.77E-03	0.7892
193	159.5	1.88E+15	1.40E-03	1.76E-03	0.79495
194	160.5	1.87E+15	1.36E-03	1.75E-03	0.77993
195	161.5	1.86E+15	1.32E-03	1.74E-03	0.75984
196	162.5	1.84E+15	1.36E-03	1.73E-03	0.7866
197	163.5	1.83E+15	1.40E-03	1.72E-03	0.81536
198	164.5	1.82E+15	1.40E-03	1.71E-03	0.82239
199	165.5	1.81E+15	1.42E-03	1.70E-03	0.83921
200	166.5	1.80E+15	1.43E-03	1.69E-03	0.84545
201	167.2	1.79E+15	1.35E-03	1.68E-03	0.80362
202	167.7	1.79E+15	1.53E-03	1.67E-03	0.91508
203	168.5	1.78E+15	1.47E-03	1.67E-03	0.88392
204	169.5	1.77E+15	1.43E-03	1.66E-03	0.86379
205	170.5	1.76E+15	1.42E-03	1.65E-03	0.86511
206	171.5	1.75E+15	1.38E-03	1.64E-03	0.84091
207	172.5	1.74E+15	1.35E-03	1.63E-03	0.82747
